link,missing_rate,method_type,method,rmse,nrmse,r2,mape
es-ac,0.3,baseline,LinearInterpolation,73.81,9.75,0.34958987106292916,7.51
es-ac,0.3,stacking,StackingRegressor,27.8733,3.7667,0.8648,3.9
es-ac,0.35,baseline,Mean,97.01,12.79,-0.0007874171774504557,15.62
es-ac,0.35,baseline,Median,97.32,12.83,-0.007158955064176409,15.73
es-ac,0.35,baseline,KNNImputer,97.01,12.79,-0.0007874171774504557,15.62
es-ac,0.35,baseline,ForwardFill,88.74,11.7,0.16259602057502398,11.57
es-ac,0.35,baseline,BackwardFill,95.74,12.63,0.025386239224221785,14.52
es-ac,0.35,baseline,RollingMean,87.75,11.57,0.18129732385430353,12.37
es-ac,0.35,baseline,LinearInterpolation,79.07,10.43,0.3351714499227145,11.97
es-ac,0.35,stacking,StackingRegressor,27.8733,3.7667,0.8648,3.9
es-ac,0.4,baseline,Mean,95.95,12.65,-0.0010375391459285233,14.87
es-ac,0.4,baseline,Median,96.34,12.71,-0.009374379374266661,15.01
es-ac,0.4,baseline,KNNImputer,95.95,12.65,-0.0010375391459285233,14.87
es-ac,0.4,baseline,ForwardFill,88.48,11.67,0.14873524975230756,11.32
es-ac,0.4,baseline,BackwardFill,101.8,13.43,-0.12699554789062883,14.19
es-ac,0.4,baseline,RollingMean,87.02,11.48,0.17646307453767518,11.99
es-ac,0.4,baseline,LinearInterpolation,81.83,10.79,0.2718201225087479,11.71
es-ac,0.4,stacking,StackingRegressor,27.8733,3.7667,0.8648,3.9
es-ac,0.45,baseline,Mean,94.01,12.37,-4.377068009531193e-05,14.15
es-ac,0.45,baseline,Median,94.25,12.41,-0.00515693907934045,14.27
es-ac,0.45,baseline,KNNImputer,94.01,12.37,-4.377068009531193e-05,14.15
es-ac,0.45,baseline,ForwardFill,90.97,11.97,0.06344300900202982,11.19
es-ac,0.45,baseline,BackwardFill,108.73,14.31,-0.33788141045668274,13.43
es-ac,0.45,baseline,RollingMean,89.7,11.81,0.0893999820698953,11.73
es-ac,0.45,baseline,LinearInterpolation,83.46,10.99,0.21179490633056897,10.94
es-ac,0.45,stacking,StackingRegressor,27.8733,3.7667,0.8648,3.9
es-ac,0.5,baseline,Mean,98.01,12.88,-0.00045316820271401603,20.87
es-ac,0.5,baseline,Median,98.04,12.88,-0.0010235954551516269,20.99
es-ac,0.5,baseline,KNNImputer,98.01,12.88,-0.00045316820271401603,20.87
es-ac,0.5,baseline,ForwardFill,94.66,12.44,0.0667649270437537,18.87
es-ac,0.5,baseline,BackwardFill,105.76,13.89,-0.1647509380877581,21.16
es-ac,0.5,baseline,RollingMean,94.52,12.42,0.06951947107182577,19.46
es-ac,0.5,baseline,LinearInterpolation,86.79,11.4,0.21554590117868622,18.64
es-ac,0.5,stacking,StackingRegressor,27.8733,3.7667,0.8648,3.9
go-ac,0.2,baseline,Mean,82.61,10.78,-0.0011255497537121517,8.7
go-ac,0.2,baseline,Median,82.57,10.78,-2.4006592824532547e-05,8.68
go-ac,0.2,baseline,KNNImputer,82.61,10.78,-0.0011255497537121517,8.7
go-ac,0.2,baseline,ForwardFill,114.67,14.97,-0.9287884610533377,9.5
go-ac,0.2,baseline,BackwardFill,89.05,11.62,-0.16324434793426756,7.97
go-ac,0.2,baseline,RollingMean,104.98,13.7,-0.6166383402532167,8.65
go-ac,0.2,baseline,LinearInterpolation,83.38,10.88,-0.019874092444109426,7.53
go-ac,0.2,stacking,StackingRegressor,39.436,5.268,0.6452,11.27
go-ac,0.25,baseline,Mean,84.12,11.0,-0.0028224891304953204,8.97
go-ac,0.25,baseline,Median,84.04,10.98,-0.0007303637155293696,8.93
go-ac,0.25,baseline,KNNImputer,84.12,11.0,-0.0028224891304953204,8.97
go-ac,0.25,baseline,ForwardFill,111.78,14.61,-0.770586668419923,9.43
go-ac,0.25,baseline,BackwardFill,86.71,11.33,-0.06528707911860931,7.93
go-ac,0.25,baseline,RollingMean,102.23,13.36,-0.4809854923114587,8.68
go-ac,0.25,baseline,LinearInterpolation,81.56,10.66,0.057367403089176094,7.5
go-ac,0.25,stacking,StackingRegressor,40.04,5.3775,0.6653,25.4075
go-ac,0.3,baseline,Mean,84.0,10.99,-0.005591599502430045,8.93
go-ac,0.3,baseline,Median,83.93,10.99,-0.003965494712401929,8.91
go-ac,0.3,baseline,KNNImputer,84.0,10.99,-0.005591599502430045,8.93
go-ac,0.3,baseline,ForwardFill,112.82,14.77,-0.8140594663497032,9.47
go-ac,0.3,baseline,BackwardFill,93.7,12.26,-0.251233962915707,8.32
go-ac,0.3,baseline,RollingMean,105.05,13.75,-0.5727127775921197,8.79
go-ac,0.3,baseline,LinearInterpolation,85.15,11.15,-0.033410970004283724,7.74
go-ac,0.3,stacking,StackingRegressor,34.1533,4.53,0.7883,18.23
go-ac,0.35,baseline,Mean,89.48,11.73,-0.009737887451339855,15.9
go-ac,0.35,baseline,Median,89.33,11.71,-0.006508015934892031,15.84
go-ac,0.35,baseline,KNNImputer,89.48,11.73,-0.009737887451339855,15.9
go-ac,0.35,baseline,ForwardFill,113.55,14.89,-0.6260758839276894,16.7
go-ac,0.35,baseline,BackwardFill,92.1,12.08,-0.06989017707119327,15.68
go-ac,0.35,baseline,RollingMean,106.06,13.91,-0.4187216186919216,16.01
go-ac,0.35,baseline,LinearInterpolation,88.57,11.61,0.01063292367011437,15.19
go-ac,0.35,stacking,StackingRegressor,34.1533,4.53,0.7883,18.23
go-ac,0.4,baseline,Mean,87.94,11.54,-0.015522249540763422,14.96
go-ac,0.4,baseline,Median,87.74,11.52,-0.010924440387280798,14.9
go-ac,0.4,baseline,KNNImputer,87.94,11.54,-0.015522249540763422,14.96
go-ac,0.4,baseline,ForwardFill,111.08,14.58,-0.6204011350528666,15.85
go-ac,0.4,baseline,BackwardFill,90.26,11.85,-0.06993888446535435,14.7
go-ac,0.4,baseline,RollingMean,104.33,13.69,-0.42953204756658625,15.27
go-ac,0.4,baseline,LinearInterpolation,86.43,11.35,0.01886365549753033,14.21
go-ac,0.4,stacking,StackingRegressor,34.1533,4.53,0.7883,18.23
go-ac,0.45,baseline,Mean,88.57,11.61,-0.012969853219907623,14.42
go-ac,0.45,baseline,Median,88.4,11.59,-0.00888916913726212,14.36
go-ac,0.45,baseline,KNNImputer,88.57,11.61,-0.012969853219907623,14.42
go-ac,0.45,baseline,ForwardFill,116.54,15.28,-0.7534471205922477,15.5
go-ac,0.45,baseline,BackwardFill,99.0,12.98,-0.26544732872435217,14.29
go-ac,0.45,baseline,RollingMean,110.91,14.54,-0.5882654695289462,14.98
go-ac,0.45,baseline,LinearInterpolation,99.29,13.02,-0.2729582881175301,13.89
go-ac,0.45,stacking,StackingRegressor,34.1533,4.53,0.7883,18.23
go-ac,0.5,baseline,Mean,87.66,11.44,-0.0019421653467344147,13.7
go-ac,0.5,baseline,Median,87.62,11.43,-0.001085756679954919,13.68
go-ac,0.5,baseline,KNNImputer,87.66,11.44,-0.0019421653467344147,13.7
go-ac,0.5,baseline,ForwardFill,114.68,14.96,-0.7148362247838118,14.72
go-ac,0.5,baseline,BackwardFill,95.06,12.4,-0.1781697061635643,12.95
go-ac,0.5,baseline,RollingMean,109.68,14.31,-0.5685770862838306,14.32
go-ac,0.5,baseline,LinearInterpolation,96.67,12.61,-0.21856525060680987,12.92
go-ac,0.5,stacking,StackingRegressor,34.1533,4.53,0.7883,18.23
ma-ac,0.2,baseline,Mean,85.36,10.85,-4.366899309493633e-06,8.96
ma-ac,0.2,baseline,Median,86.34,10.97,-0.023122765705102966,8.91
ma-ac,0.2,baseline,KNNImputer,85.36,10.85,-4.366899309493633e-06,8.96
ma-ac,0.2,baseline,ForwardFill,98.53,12.52,-0.33235803883261505,9.46
